file_size,entropy,nb_sections,size_code,size_image,entry_point,subsystem,dll_char,machine,sect_entropy_max,sect_entropy_mean,nb_dll,nb_imports,api_CreateRemoteThread,api_VirtualAllocEx,api_WriteProcessMemory,api_LoadLibraryA,api_GetProcAddress,api_RegSetValueExA,api_InternetOpenA,api_URLDownloadToFileA,api_CreateProcessA,api_ShellExecuteA,api_WinExec,api_IsDebuggerPresent,api_CryptEncrypt,api_OpenProcess,api_SetWindowsHookExA,api_CreateMutexA,label
64888,6.5714,4,34304,65536,31808,3,49472,332,6.3857,5.2995,15,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2489528,6.2249,7,2329088,2781184,2106220,3,352,34404,6.1684,4.8245,10,302,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
16648,6.7405,3,3584,32768,11454,3,34144,332,5.4538,2.7823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624640,5.7622,7,456704,638976,9286,2,320,332,6.2529,3.7742,10,538,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2251264,6.3684,6,1753088,2281472,1703456,2,16736,34404,6.4594,4.7729,11,243,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47384,5.3881,3,24576,36864,0,3,33120,34404,5.7424,2.7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54291,6.2189,10,41472,86016,5152,3,1344,332,6.2468,2.6356,3,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29280,5.3535,5,1024,36864,4848,2,17728,332,3.6691,1.6766,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65568,5.9573,3,52736,81920,60554,3,34144,332,5.6141,2.9969,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20856,6.4654,3,9728,40960,17882,3,34144,332,5.7191,2.9391,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24648,6.5108,3,11776,40960,19442,3,34144,332,5.8552,2.8029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174408,6.2995,7,111616,180224,106704,3,16736,34404,6.2987,4.0381,12,143,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
152944,6.2134,7,89088,159744,85952,3,16736,34404,6.1859,4.173,12,111,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7993616,6.797,3,7598080,7983104,0,3,33120,34404,6.8214,5.7362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598016,6.5744,5,410112,622592,315829,2,320,332,6.6817,5.2877,1,75,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
10912,6.3918,1,0,8192,0,2,1344,332,3.2626,3.2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16915,5.1478,10,8192,49152,5152,3,1344,332,5.9251,2.2629,3,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46464,6.1869,12,15360,331776,5184,3,33120,34404,5.9976,2.6052,5,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170248,6.4297,3,135168,159744,0,3,33120,34404,6.6191,4.4237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4484760,6.7442,7,611328,4562944,539300,3,352,34404,6.6998,5.038,4,91,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4549672,6.9945,9,2459136,4608000,2252016,3,16736,34404,7.0954,3.5264,4,160,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
417656,6.5676,5,165376,421888,156080,2,16704,332,6.5584,5.3821,11,891,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22216624,6.8492,17,6671872,22605824,530176,3,33120,34404,7.9987,5.7593,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4557392,6.5552,12,3495424,4771840,1123552,2,49504,34404,6.5459,3.868,3,259,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
